Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
13,3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,3,38,0.6600,-0.6140,0.0100,3.4310,-4.9650,0.0500,2.7710,-4.3510,0.0400
15,3,386,8.1280,31.2260,-0.3990,8.3380,30.1060,-0.0300,0.2100,-1.1200,0.3690
16,3,578,34.1700,39.3210,0.0040,34.3820,38.6920,0.6200,0.2120,-0.6290,0.6160
20,3,770,55.9170,31.8230,0.1230,54.5540,30.8950,0.9800,-1.3630,-0.9280,0.8570
23,3,792,51.9480,34.8650,0.1230,50.1160,34.0910,0.9400,-1.8320,-0.7740,0.8170
29,3,828,54.1700,32.5990,0.1510,52.6230,31.8440,0.9800,-1.5470,-0.7550,0.8290
31,3,1044,26.2120,33.3830,-0.3780,25.0800,32.7700,0.3100,-1.1320,-0.6130,0.6880
32,3,1266,18.6880,4.3140,-0.7420,17.4800,4.3190,0.1000,-1.2080,0.0050,0.8420
33,3,1374,8.3310,7.5230,-0.9610,7.8000,7.4110,-0.0800,-0.5310,-0.1120,0.8810
34,3,1392,8.3120,14.0230,-1.0530,7.6370,13.9640,-0.0800,-0.6760,-0.0590,0.9730
43,3,1398,8.3060,19.0250,-1.0930,7.8080,18.5640,-0.1100,-0.4980,-0.4610,0.9830
44,3,1416,8.3060,19.0250,-1.0930,7.5760,18.7200,-0.1100,-0.7300,-0.3050,0.9830
47,3,1708,38.3200,9.5460,-0.9660,36.1970,9.0020,0.3700,-2.1230,-0.5440,1.3360
48,3,1850,54.6890,15.0680,-0.6390,52.4670,14.4690,0.8700,-2.2220,-0.5990,1.5090
49,3,1950,65.9940,10.3130,-0.7150,63.7300,9.9960,0.9300,-2.2640,-0.3170,1.6450
52,3,2046,73.2280,7.7410,-0.7630,70.5080,7.4250,0.8600,-2.7200,-0.3160,1.6230
65,3,2150,78.2030,2.1570,-0.8380,75.3290,2.3160,0.9100,-2.8740,0.1590,1.7480
66,3,2208,82.6220,-6.4520,-1.0910,79.3800,-5.8400,0.5900,-3.2420,0.6120,1.6810
72,3,2346,95.6750,-21.3480,-0.9490,91.7400,-20.6960,0.7700,-3.9350,0.6520,1.7190
73,3,2430,99.9640,-30.5460,-0.7890,95.6690,-29.7060,1.1000,-4.2950,0.8400,1.8890
84,4,0,0.0000,0.0000,0.0000,78.1940,-24.1770,0.6100,78.1940,-24.1770,0.6100
86,4,48,-3.4130,-3.6510,-0.0200,74.9590,-27.6780,0.7100,78.3720,-24.0270,0.7300
91,4,136,-4.5190,-20.6510,-0.1070,74.2880,-44.2770,0.6800,78.8070,-23.6260,0.7870
100,4,218,-7.0290,-27.5670,-0.0930,71.7300,-51.2390,0.7130,78.7590,-23.6720,0.8060
102,4,372,-42.9650,-58.4310,0.3080,36.0750,-81.3500,0.9560,79.0400,-22.9190,0.6480
103,4,430,-61.8170,-74.0570,0.5940,17.3530,-96.5930,1.0460,79.1700,-22.5370,0.4520
104,4,510,-80.2960,-108.4910,0.5310,-1.1990,-130.6410,0.9780,79.0970,-22.1500,0.4470
105,4,592,-89.9980,-133.5770,0.9050,-10.6330,-155.2520,1.4000,79.3650,-21.6750,0.4950
107,4,644,-90.8980,-141.8720,1.0630,-11.5740,-162.9800,1.3880,79.3240,-21.1080,0.3250
108,4,738,-111.5950,-147.8780,0.8270,-31.9340,-168.8700,1.2370,79.6610,-20.9920,0.4100
109,4,822,-145.3820,-187.1250,1.0110,-65.2430,-207.8920,1.2030,80.1390,-20.7670,0.1920
110,4,922,-149.9150,-242.6270,0.8210,-69.8310,-262.4580,1.0100,80.0840,-19.8310,0.1890
113,4,1062,-155.2230,-278.3730,0.7230,-75.7740,-297.3390,0.7730,79.4490,-18.9660,0.0500
116,4,1250,-162.5610,-310.9930,1.6240,-83.4160,-329.4460,1.8370,79.1450,-18.4530,0.2130
